Date,State,TotalSamples,Negative,Positive,total_positive
13-04-2021,Andaman and Nicobar Islands,341557,,5209,10410
14-04-2021,Andaman and Nicobar Islands,343431,,5247,10456
15-04-2021,Andaman and Nicobar Islands,345485,,5262,10509
16-04-2021,Andaman and Nicobar Islands,347489,,5289,10551
17-04-2021,Andaman and Nicobar Islands,349739,,5331,10620
18-04-2021,Andaman and Nicobar Islands,352086,,5390,10721
19-04-2021,Andaman and Nicobar Islands,353754,,5421,10811
20-04-2021,Andaman and Nicobar Islands,355507,,5466,10887
21-04-2021,Andaman and Nicobar Islands,357442,,5490,10956
22-04-2021,Andaman and Nicobar Islands,358903,,5527,11017
23-04-2021,Andaman and Nicobar Islands,360595,,5569,11096
24-04-2021,Andaman and Nicobar Islands,361594,,5614,11183
25-04-2021,Andaman and Nicobar Islands,363056,,5665,11279
26-04-2021,Andaman and Nicobar Islands,364735,,5716,11381
27-04-2021,Andaman and Nicobar Islands,366683,,5764,11480
28-04-2021,Andaman and Nicobar Islands,367689,,5816,11580
29-04-2021,Andaman and Nicobar Islands,368945,,5875,11691
30-04-2021,Andaman and Nicobar Islands,370896,,5949,11824
01-05-2021,Andaman and Nicobar Islands,372214,,6046,11995
02-05-2021,Andaman and Nicobar Islands,373007,,6084,12130
03-05-2021,Andaman and Nicobar Islands,373785,,6150,12234
04-05-2021,Andaman and Nicobar Islands,374428,,6181,12331
05-05-2021,Andaman and Nicobar Islands,375095,,6223,12404
06-05-2021,Andaman and Nicobar Islands,375477,,6255,12478
07-05-2021,Andaman and Nicobar Islands,375967,,6311,12566
08-05-2021,Andaman and Nicobar Islands,376536,,6341,12652
09-05-2021,Andaman and Nicobar Islands,376933,,6367,12708
10-05-2021,Andaman and Nicobar Islands,377293,,6398,12765
11-05-2021,Andaman and Nicobar Islands,377516,,6426,12824
12-05-2021,Andaman and Nicobar Islands,378060,,6470,12896
13-05-2021,Andaman and Nicobar Islands,378462,,6510,12980
14-05-2021,Andaman and Nicobar Islands,378887,,6542,13052
15-05-2021,Andaman and Nicobar Islands,379096,,6568,13110
16-05-2021,Andaman and Nicobar Islands,379674,,6603,13171
17-05-2021,Andaman and Nicobar Islands,380102,,6638,13241
18-05-2021,Andaman and Nicobar Islands,380395,,6674,13312
19-05-2021,Andaman and Nicobar Islands,380853,,6709,13383
20-05-2021,Andaman and Nicobar Islands,381349,,6758,13467
21-05-2021,Andaman and Nicobar Islands,382015,,6789,13547
22-05-2021,Andaman and Nicobar Islands,382640,,6820,13609
23-05-2021,Andaman and Nicobar Islands,383265,,6844,13664
24-05-2021,Andaman and Nicobar Islands,383396,,6853,13697
25-05-2021,Andaman and Nicobar Islands,383727,,6878,13731
26-05-2021,Andaman and Nicobar Islands,384188,,6901,13779
27-05-2021,Andaman and Nicobar Islands,384528,,6917,13818
28-05-2021,Andaman and Nicobar Islands,385020,,6936,13853
29-05-2021,Andaman and Nicobar Islands,385564,,6964,13900
30-05-2021,Andaman and Nicobar Islands,385988,,6984,13948
31-05-2021,Andaman and Nicobar Islands,386613,,7005,13989
01-06-2021,Andaman and Nicobar Islands,387348,,7018,14023
02-06-2021,Andaman and Nicobar Islands,387871,,7043,14061
03-06-2021,Andaman and Nicobar Islands,388486,,7070,14113
04-06-2021,Andaman and Nicobar Islands,389152,,7088,14158
05-06-2021,Andaman and Nicobar Islands,389785,,7105,14193
06-06-2021,Andaman and Nicobar Islands,390574,,7119,14224
